Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
52,We Got the Moves,Electric Callboy,2021,https://www.youtube.com/watch?v=_4OglbPB9FI,2ff85e359e285e5deb0e2235700e80bd4780e4836577f1999038662cf58cbe83,Electric Callboy - WE GOT THE MOVES (Lyrics),GBDHC2227201
53,Rose Tattoo,Dropkick Murphys,2013,https://www.youtube.com/watch?v=9d8SzG4FPyM,832261524150034db8defec5c89b10a2b3098ca6beb30829711567474a9d5986,"Dropkick Murphys - ""Rose Tattoo"" (Video)",USK251300003
54,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1981,https://www.youtube.com/watch?v=wMsazR6Tnf8,44177218e39fc8bb522813850e11c5999966e7f72a1a97ac379e2fe70fd37832,"""I Love Rock 'n' Roll"" - Joan Jett & the Blackhearts (Official Video)",USBH18100118
55,La Grange,ZZ Top,1973,https://www.youtube.com/watch?v=rG6b8gjMEkw,3760736982b22f58c3c5c20ca029567ab7148f7c23224950484ff4d00a6c7c0f,ZZ Top - La Grange (Official Audio),QMRSZ2200138
56,Supermassive Black Hole,Muse,2006,https://www.youtube.com/watch?v=Qr_qDnDPyA4,c682abedde85a4f418876ff315ae434d9de8c05e63ef92169c0839bf3e104aec,MUSE – SUPERMASSIVE BLACK HOLE (Official Music Video),GBAHT0500593
57,Celebrity Skin,Hole,1998,https://www.youtube.com/watch?v=O3dWBLoU--E,cfba7dbdb1b81e2d5b3c44918127d189ef1252ccab7945b3fce18273ca50e9a7,Hole - Celebrity Skin (Video),USGF19816401
58,Square Hammer,Ghost,2016,https://www.youtube.com/watch?v=VqoyKzgkqR4,9fff325cc3f748b3ccd93c6564d72fd0107bb4d15d47a2676f24b69b0ec33e88,Ghost - Square Hammer (Official Music Video),USC4R1601938
59,Rollin' (Air Raid Vehicle),Limp Bizkit,2000,https://www.youtube.com/watch?v=AMX7XkO2-Y8,f4116281e8387b82b1fccb51c6d1f7700995412cf5f9d2ff7ff9c76fddb4265e,Rollin' (Air Raid Vehicle),USIR10001170
60,Alone In A Room,Asking Alexandria,2017,https://www.youtube.com/watch?v=4cHb8AJDR5Y,f3376691a22d70dd9668e1cd1ec727cc2481d6cdd8ae6863fa3c53f4204276fa,ASKING ALEXANDRIA - Alone In A Room (Official Music Video),USYFZ1791001
61,Go Your Own Way,Fleetwood Mac,1976,https://www.youtube.com/watch?v=ozl3L9fhKtE,104f7722bca0a2d67b9ae856fda88ca2dbddb78607bc3ea95b1cea16289e8365,Fleetwood Mac - Go Your Own Way (Official Music Video) [HD],USWB19900181
62,American Woman,The Guess Who,1971,https://www.youtube.com/watch?v=3r_qd2yxIsM,0b1307070cb1b011b003d1aedaa45e324b24c8da8d90dfeabebb9c7e00558389,American Woman,GBQRF1113026
63,Heat Of The Moment,Asia,1982,https://www.youtube.com/watch?v=88lgq7ZE9Xg,849e6cad3ee1774088ce31fa30c69de95e717a8f40c88df5128d1250fec2f774,ASIA - HEAT OF THE MOMENT 1982  (REMASTERED VERSION),USGF18200801
64,Juke Box Hero,Foreigner,1981,https://www.youtube.com/watch?v=jsGo_AZSb0E,0511dece91871c014602399ca596c14f10608d9c14a1107b8c5d1469da652a8e,Juke Box Hero,USAT20803006
65,The Devil's Bleeding Crown,Volbeat,2016,https://www.youtube.com/watch?v=3nb7DD7vdQ0,64e979f96f2bc75273cb6112cfdec859e12c9022b625447c3eac55cc2c63fb3b,Volbeat - The Devil's Bleeding Crown,DKNE11600101
66,Songs für Liam,Kraftklub,2012,https://www.youtube.com/watch?v=w9V9jblqXo0,5ba95f59f2cc24c8c757695c28fd3cb20a5edf61c790ae1a23d52e498eb8da3f,Kraftklub- Songs für Liam (Kraftklub mit K) *Original*,DEUM71104128
67,Chop Suey!,System Of A Down,2001,https://www.youtube.com/watch?v=CSvFpBOe8eY,e86af0fbbfb9bb284a28dfc68781881fefb94e49f42fc61b0c147ee361d0165e,System Of A Down - Chop Suey! (Official HD Video),USSM10107256
68,Schrei nach Liebe,Die Ärzte,1993,https://www.youtube.com/watch?v=6X9CEi8wkBc,527c545ad703a83a852d2dd8a8a7ea35ed648ef8365ea964f92a69c0649ee581,die ärzte - Schrei nach Liebe (Offizielles Video - Refurbished 2025),DEZ650506930
69,Teenage Dirtbag,Wheatus,2000,https://www.youtube.com/watch?v=FC3y9llDXuM,a24828d0fc04377de206ff7ccbce95fbff6959f125d045c78b38bb21e381898e,Wheatus - Teenage Dirtbag (Official Video),USSM10008431
70,Here I Go Again,Whitesnake,1982,https://www.youtube.com/watch?v=WyF8RHM1OCg,a803fe331acbe1228c8c7010de9e2c24bcc97859a7187f315f8023bf1570f629,Whitesnake - Here I Go Again '87 (Official Music Video),GB01A8700011
71,Hail to the King,Avenged Sevenfold,2013,https://www.youtube.com/watch?v=PI-dpqOa3rk,3b7953a479bde1cdf5e3f39e714975563d8736875e00dc7a4b3be08f8ab8cf93,Avenged Sevenfold - Hail To The King (Live At The GRAMMY Museum®),USWB11302191
72,Sleepwalking,Bring Me The Horizon,2013,https://www.youtube.com/watch?v=lir3dzYIhz0,d73c6622a00923f3b75f3dd79aee5a6bc1f05d361106052e3dd54268964c29ee,Bring Me The Horizon - Sleepwalking,GBARL1202418
73,Eye of the Tiger,Survivor,1982,https://www.youtube.com/watch?v=btPJPFnesV4,592bbd4dd925652e0d9224abd42b329ea2892c9d459a856f18fcfb262dce81a0,Survivor - Eye Of The Tiger (Official HD Video),USVR19300001
74,Oh' Pretty Woman,Roy Orbison,1964,https://www.youtube.com/watch?v=Am38jAK38DU,a95d753a038dcf8dcbf22b3a83f6a9c46c1b649d50ffa15367cdeee1b5f79110,"Roy Orbison - Oh, Pretty Woman (Monument Concert 1965)",USSM16401575
75,The Final Countdown,Europe,1986,https://www.youtube.com/watch?v=lZzcQ-uQ8R0,0ce3b5d41238557066cc74c3dd20a7bff1431c61c02ebd4e077f85b1a12afa0c,Europe - The Final Countdown (audio),USSM18600196
76,Rock Around The Clock,Bill Haley & His Comets,1954,https://www.youtube.com/watch?v=_hXxX7ymRJc,c035c288604e5db7bddb2f1bd74ca77196f893a075897ca49315afcee7b343d3,Bill Haley & His Comets - Rock Around The Clock [Official Music Video],SEBFO6804010
77,Death by Rock and Roll,The Pretty Reckless,2020,https://www.youtube.com/watch?v=BX6KILafIS0,ed286dc6407c53e35f941b7516f759f0d8ee9f191b2a0b83200cb966958b8f2e,The Pretty Reckless - Death By Rock And Roll (Lyric Video),US5262023639
78,Interstate Love Song,Stone Temple Pilots,1994,https://www.youtube.com/watch?v=yjJL9DGU7Gg,a1bf51ede1336ed9082b9a203e9e2172c724b20586d57559a46e8d7b34c2c9a4,Stone Temple Pilots - Interstate Love Song (Official Music Video),USAT20181162
79,No One Like You,Scorpions,1982,https://www.youtube.com/watch?v=O5hGSAdKge0,b6e466b05440ed2e45df9ac4908cd9fbdf514aef73cb73cd922994a352a10d9f,Scorpions - No One Like You (Official Video) HD,DEE861101518
80,Balls to the Wall,Accept,1983,https://www.youtube.com/watch?v=3wMwuAEfKus,86412e197cc6d2dbddbd1e6aa99e3fde1df2a17c791b2ce38c5d52097e9716fd,"Accept -  ""Balls To The Wall ""  (HQ)",USSM18400165
81,Carry on Wayward Son,Kansas,1976,https://www.youtube.com/watch?v=P5ZJui3aPoQ,f4faada61b35d4686c06c707205d5b4cc9549e56efbea0209c476a33010362ae,Kansas - Carry on Wayward Son (Official Video),USSM17600874
82,Welcome to the Black Parade,My Chemical Romance,2006,https://www.youtube.com/watch?v=RRKJiM9Njr8,b230511d21bf50cc9245812f2f98d44f668832f2c303824b2516122cee55fe53,My Chemical Romance - Welcome To The Black Parade [Official Music Video] [HD],USRE10602613
83,Maybellene,Chuck Berry,1955,https://www.youtube.com/watch?v=RMkIK0qZnjw,6cac9a78b0ad6b8062bc561e394e8b942e02c3a4801269990962f0beed3d281e,Maybelline,USMC15519962
84,I Hate Myself for Loving You,Joan Jett & the Blackhearts,1988,https://www.youtube.com/watch?v=V6m7b5xJq7Y,82ca0eed7c493bba5da20e48c4a1492d16b6a875e5f7f71f3bf22c2616bfd1f6,I Hate Myself for Loving You,USSM10021818
85,Animals,Architects,2020,https://www.youtube.com/watch?v=n8hImk9kVbA,bf6377cd06156fee06f415468543ad6c9d315f7097bb5f0d5e6b109a60d123d4,Animals by Architects (fan made) Music Video,USEP42058010
86,I Will Not Bow,Breaking Benjamin,2009,https://www.youtube.com/watch?v=7qrRzNidzIc,aad80e676551d7b45059ea75151ac1c5b155a51db69222764963dc2fabbfe42a,Breaking Benjamin - I Will Not Bow,USHR10924529
87,Freak On a Leash,Korn,1998,https://www.youtube.com/watch?v=jRGrNDV2mKc,c9cb59fffec68f3120fe1b24e295ba99434b3bcaeb9edffbafe9eacaab7abf25,Korn - Freak On A Leash (Official Video),USSM19801755
88,Dance Macabre,Ghost,2018,https://www.youtube.com/watch?v=7Gr63DiEUxw,dd9256fa2ab709a65b56a9c1f2e74d40103c32667f8ee67074874623739a81b1,Ghost - Dance Macabre (Official Music Video),USC4R1802371
89,What I Got,Sublime,1996,https://www.youtube.com/watch?v=0Uc3ZrmhDN4,51d3f88125cfb0bdbdeb68b47a30e2a0c7b573af88526092a1e12b255e9dde82,Sublime - What I Got (Official Music Video),USGA19649251
90,Wake up Little Susie,The Everly Brothers,1957,https://www.youtube.com/watch?v=iTseFBze0NM,1ed61686cb70fb531da924ec42cb994a92a5180a70625defaa687a6118be7ac9,Everly Brothers - Wake up Little Susie (live 1983) HD 0815007,USWB19903263
